;agency_words;agency;climate_words;climate;covid_words;covid;health_words;health;possibility_words;possibility;social_words;social;urgency_words;urgency
week_2;require, effort, pls_think, abolish, demonstrate, reorganisation, voteforpolicie;7;environmental, carbon;2;track, elderly, charge_migrant, distance, crisiswhatcrisis;5;public_health, ward, disease, symptom, maternity, surgery, condition, winter_crisis, medic, outsourcing, hostile_environment, primary_care, bma, whipps_cross, john_pilger, disability, dwp, gp_surgery, arrowe_park, underfunded, paramedic, nationalise, clinic, midwife, pneumonia, ccgs, prescription, pharmaceutical, understaffed, lgi, nhscut, injury, keepournhspublic, pharmacy, diagnosis, therapy, paediatrician, priv, healthworker, selling, childcare, surg, defunding, radiographer, dfnhs, pregnancy, understaffe, pipeline, nhsprivatisation, endmigrantcharge, savethenhs, handsoffour, stopthecut, underfunds, stoptoryprivatisationnhs, magicnursetree, plundering, nhsc, healthca, nhscris, saveo;61;safety, long_term;2;rent, landlord, homelessness;3;urgent, threat, serious, disgraceful, unacceptable, disastrous, devastating, chaos, appalling, devastate, dangerously, suicide, cruel, wreck, grief, catastrophe, alarming, overwhelmingly, suicidal, deterioration, overcrowded, senseless;22
week_3;sign_share, spread_word, prioritise, heroic, enact;5;0;0;stay_home, nhsbetrayal, difficulty, breath, safenhsstaffe;5;equipment, save_life, infection, scheme, ill, shadow_health, hostileenvironment, dirtywaronthenhs, kaiser_permanente, hosp, unitedhealth, recovery, medicare, nhslongtermscam, thedirtywaronthenhs, restructuring, commercialise, lump, medicaid, cure, americanisation, nhsmillion, outpatient, nationalisation, nhscharge, nhsresistance, whistleblowing, overcrowd, maternitycare, therapist, privat, psychiatrist, thedirtywaronthenh, nhsstrike, diarrhoea, antibiotic, saveour, nationalhealthservice, hospitals, nhspolitic, ptsd;41;integrity, achievement, efficiency;3;pay_rise;1;critical, desperate, national_scandal, unsafe, starve, catastrophic, shamelessly, endless, nasty, overwhelming, fury, burnout, betrayal, unsustainable, disappointingly;15
week_4;0;0;0;0;capacity, essential;2;nhsheroe, protection, lab, surcharge, patientsnotpassport, thankyounhs, privatiser, dhsc, temperature, mentalhealth, crowdfunde, boriskeepyourpromise, cardiology, merrycrisisnhs, privatize, radiologist, rsmdigihealth, hospitalclosure, nhsfundstoprivatecare, nhssafestaffe;20;inspirational, sustainable;2;0;0;seriously, ugly, injustice, unfair;4
week_5;initiative;1;sustainability;1;mask;1;care_home, intensive_care, health_surcharge, bmj, accountable_care, sick_pay, nhsstaff, procurement, nhslongtermplan, oncology, pri, intensive, paediatric, radiotherapy, wheelchair, overstretched, unaffordability, loveyourhospital;18;progress;1;londonlivingwage;1;atrocity;1
week_6;0;0;0;0;0;0;medi, nursery, untreated, sclerosis, medicinal, longliveournhs;6;worthfightingfor;1;universal_credit, universalcredit;2;disaster, irresponsible, dysfunctional, trauma, deprivation;5
week_7;insist;1;climatecrisis, xr;2;cough;1;whistleblower, pcn, breast, inflation, notenoughbed, glaucoma, privatising, gponline, abdominal, revolvingdoor, primarycarenetwork, nhsbillnow, privatehealthkeir, cbt, pcns, privatisatio, hospit, ppm, discharged, gpshortage, docsnotcop;21;0;0;0;0;drastically;1
week_8;scrutinise;1;fossil, climatechange;2;0;0;hospice, patien, shoeburyambulance, saveourhospitals, defunde, ophthalmologist, ophthalmologists, cutshaveconsequence, saveshoeburyambulance, nomigrantcharge;10;0;0;0;0;torture;1
week_9;0;0;0;0;virus, outbreak, reopen;3;risk_life, immunity, survivor, renationalisation, depression, humanitarian, healthtech, palliative, oncologist, misdiagnose, eastkentbabie, healthsystem, outsourcer, conservativenhswreckingcrew, saveournhsken, wipethedeficit, nhsnotforprofit, healthwatchhackney, primarycarenetworks;19;preventable;1;living_wage, unpaid;2;toxic, unimaginable, breakdown, embarrassing;4
week_10;0;0;0;0;coronavirus, quarantine;2;privateer, keepnhspublic, underinvestment, nhsfundingbill, aneurysm, fundournh, healthaccess, ournhspeople, nhstrust, yearofthenurseandmidwife, unitedheal;11;0;0;0;0;overwhelmed;1
week_11;0;0;renewable, climateemergency;2;covid, epidemic;2;pharmacist, syndrome, subsidy, mentalhealthawareness, healthjustice, workloads, safestaffingsavelive, toryausterity, rhinovirus;9;guidance;1;0;0;gross;1
week_12;0;0;ecosystem, globalwarme, ozone, environmentalist;4;epidemiologist;1;cummings, diagnose, medicareforall, dialysis, lovemynhs, nhswintercrisis, morestaff, morebed, morefund, treatme, nhsstaffsurvey, migranthealth, partyofthenhs, pharmaceut, whistleblow;15;0;0;unemployment;1;incompetent, killing, heartbroken;3
week_13;0;0;0;0;pandemic, corona, coronavirus_outbreak;3;clinically, lifesave, rehabilitation, healthc, megacorp, wound, thegreatnhsheist, homertonhospital;8;0;0;inequaliti;1;unforgivable, cruelty, atrocious;3
week_14;0;0;biodiversity;1;ppe, testing, death_toll, icu, isolation, self_isolate, vaccine, herd, coronavir, coronaoutbreak, coronavirusoutbreak, coronovirus, homeoffice, infectioncontrol, coronavius;15;payer, wellbee, whistleblowe, homecare, sickpayfromdayone, uninsured;6;0;0;0;0;concerning;1
week_15;0;0;environmentalism;1;protective_equipment, coronavirusuk, tackle_coronavirus, test_positive, coron, disinfectant, coronavirusupdate, telecommute, coronavid;9;renationalise, intensivist, vaccinate, menopausal, bronchitis;5;0;0;0;0;government_fail;1
week_16;0;0;0;0;lockdown, ventilator, key_worker, herd_immunity, protective, death_rate, kit, social_distancing, personal_protective, applause, curve, flatten, coronaviru, sanitiser, coronav, eld, exercisecygnus, testnhsstaff, coronaviruspandemic, respirator, socialdistancing, virology, boristhebutcher, testvirusnow, epide, epidemiological, coronapocolypse, coughing, ventilators, infectio, coronauk;31;keep_safe, requisition_private, surgical, phe, cutting, outsourced, nationalize, ibuprofen, outsourc, polyclinic, peoplebeforeprofit, anaesthetist, medically, euthanasia, immunisa, medicarenot, biomedical, auste, thermomete;19;practicalsolution;1;eviction, endbenefitssanction, noeviction;3;condolence, inexcusable;2
week_17;0;0;ecology;1;test_trace, lack_ppe, contact_trace, nhscovidheroe, clapforourcarer, contact_tracing, mass_testing, ppeshortage, antibody, covi, tracing, stayhomesavelive, coronacrisis, staysafestayhome, stayhome, virologist, stayhomestaysafe, coronacrisisuk, stayathome, coro, stayhomesavelives, uklockdownnow, plague, testing_trace, immune, uklockdown, coronavirusbilluk, socialdistance, epidemiology, lockdownnow, staysafe, lockdownuknow, chloroquine, isolating, protectourstaff, herdimmunity, senicide, geronticide, savelives, exponential, immunisation, staysafesavelive, coronacri, stayhomesa, covidpandemic, careforthecarer, stayhomestaysafesavelive, washyourhand, actuallystayhome, corana, stayathomesavelive, covidiot, keepnhsstaffsafe, coronaviruschallenge, ppe'd;55;oxygen, hospitalisation, lethal, nhsvolunteer, stomach, paracetamol, nhsfrontline, asthma, sicknes, orthopaedic, leukemia;11;0;0;unemployed;1;incompetence, dayofreckoning, shortcoming;3
week_18;0;0;earthhouruk, earthhour, endskylitter, rspca, extinctionrebellion;5;ppe_shortage, ppefornhs, cygnus, clapforthenhs, clapfornhs, coronavillain, whereistheppe, coronashamble, asymptomatic, wherearetheventilator, wherearethetest, coronashambles, savelive, protectnhsworker, contagious, protectnhsstaff, ventilate, keepyourdistance, essentialworker, johnsonisnegligent, clapforourcarers, coronavirustruth, clapwithclout, doorsteppe, stayathomeandstaysafe, wherearethemask, coronaviruslockdownuk, coronavirusdriverstop, coronaheroe, safeppe, whencoronavirusisover, coronacrimimal, nomorenhsdeath, stayhomechallenge, coronacriminal, criminalincompetence, peoplenotprofit, inthistogether, whereatetheventilator, coronalockdown, nhscovid;41;clapforcarer, nightingale_hospital, centralised, clapfornh, respira, protectournh, depress, hospitalise, nightingalehospital, pneumothorax, singingforthenhs, hosital, saveournh, nationali, insuran;15;0;0;0;0;unhelpful;1
week_19;0;0;recycling, heatwave;2;sadly_die, ppenow, clapforkeyworker, coronavi, sars, hydroxychloroquine, wedemandppenow, clapforthenh, covidcrisis, lockd, properppe, wearenotdisposable, clapforcarers, clapforkeyworkers, wedemandtestingnow, covidcriminal, ppeforthenhs, coronashamb, nhscovidheroes, daylockdown, thankshealthheroes, immunit, nursesareheroe, wherestheppe, solidaritywithshopworker, countthenurse, helpthemhelpus;27;worldhealthday, protectournhs, privatisati, marketisation, publicisbetter, stopprivatization, publichealthinsanity, healthkeir, nhsnightingalehospital, nursingnote, payforourcarer, injection, disabilis, influenza, medicatio;15;0;0;cancelthedebt;1;risky, manslaughter;2
