;agency_words;agency;climate_words;climate;covid_words;covid;health_words;health;possibility_words;possibility;social_words;social;urgency_words;urgency
week_2;law, defend, transform, condemn, listen_science, subsidise, raise_alarm, draw_attention, fighting, incentivise, negotiate, xrhungerstrike, grassroots, jointherebellion, movementofmovement, connectedness, marching, campaig, mobilisatio, boycottamazon, boycottburgerke, boycottmcdonald, boycottkfc, voteforyourlife, votetactically, peacefulprotest, bethechangeyouwishtosee, shareifyoucare;28;air_pollution, plastic, oil_gas, earthday, australian, eco, wild, democracy, wind, climatebreakdown, airpollution, soil, fridaysforfuture, bushfire, sustainability, carbon_neutral, renewable_energy, indigenous_people, decarbonise, warming, school_strike, head_extinction, stop_fund, pollutersout, greenwashe, extreme_weather, recycle, keepitintheground, pipeline, regenerative, destroy_planet, clima, nonviolent, diesel, stopbristolairportexpansion, green_space, exploitation, heathrow_expansion, ecology, tropical, voteclimate, eco_fascism, house_fire, ecological_breakdown, regenerativeculture, recycling, single_use, ecologicalcrisis, brave_rebel, permafrost, lifestyle, temperature_rise, sea_ice, glyphosate, heading_extinction, toxic_air, drill_oil, peaceful_protester, ice_sheet, schoolstrike, divest_fossilfuel, fridaysforfuture_climatestrike, climatechangeisreal, wind_turbine, crop_failure, wearewokingxr, extinctionrebellionwrecsam, civil_disobe, shellmustfall, climateandecologicalemergency, plasticfree, consumerism, noairportexpansion, earthprotector, beyondpolitics, hydrogen, fridaysforfurture, climatecriminal, climatejusticenow, systemchangenotclimatechange, warmth, greenhouse, greenbelt, fossi, theairwegrieve, climateem, bigoil, wecanworkitout, cleanupyouract, emerg, homemade, thehourglass, demandsbill, biological, stopairportexpansion, vegetation, decentralised, globalwarme, thunberg, actionforbolivia, bolivian, worldsoilday, carbonfootprint, carb, biodiversityloss, indige, expansionrebellion, greenparty, voteforclimate, grubbygrubbybarclay, dirtiestbritishbank, solarpanel, humanbeingnothumanbuying, extintionrebellion, overfishing, displacement, privatisation, nofoodnofuture, ecosyst, aquaculture, climateemergenc, severeweatherwarne, naturebasedsolution, hungerstriker, pedestrianisation, climatologist, climatestrik, votefortheplanet, votefornature, cryosphere, natureemergency, newdealfornature, stopheathrowexpansion, bushfirecrisis, thisisclimatechange, ecotainment, unsustainably, notherenotanywhere, protecttheamazon, parentsplea, banglyphosate, theairwebreathe, parentsforfuturelondon, fossilfuelindustry, rewildingwintercabaret, netzerocarbon, voteenvironment, ecologicalandclimateemergency, stepuptoclimateemergency, makeecosidelaw, friendsoftheearth, emergenciaclim, rebeli, extinctionelection, climatehustings, systemchangecrisi, parentforfuture, environmentdefender, poweringpastcoal, eugreendeal, climaterealitycheck, severeweatherwarning, airqualitycrisis, climateresearch, whatisyourpriority, climateplan, carbonmarket, leedsclimate, votefrackfree, letcommunitiesdecide, humanbeingnothumanbuye, imsohappyigrewup, oceansofplastic, citezenassembalie, foodfaiure, climatereporte, paleoclimate, hantsiwwildlife, carbonisedpleb, christmasdoesnthavetocosttheearth, childrenvsclimatecrisis, nofrackinganywhere, genotoxicity, airemergency, operationbigbird, discodisobedience, rebellioniscreative, ecologicalemerg, ditchbusinessasusual, foodvulnerability, nswbushfire;191;virus, lock, frontline_community, nhscrisis;4;hospital, public_health, nhs_staff, saveournhs, cardiovascular, coronary, paediatric;7;effectively, improvement, critical_mass, turning_point, empower, optimistic, optimism, overcome, decentralise, feasible;10;homelessness, disadvantaged, malnourishment;3;essential, wrong, extreme, deadly, catastrophe, devastating, extraordinary, increasingly, deeply, spend_billion, disruption, unacceptable, fundamental, devastation, starve, despair, suffering, overwhelming, strongly, international_crime, heartbreake, uninhabitable, horrify, genocide, dangerously, disappointment, tremendous, seriousness, negligent, monstrous, dystopian, ferocious, woefully, inability, tipping, uncontrollable, breakdow, thisisnotnormal, ifnotnowwhen, civilizational, wearewoke, hardtoreadbutwemustknow, irresponsibly, extraordinaire;44
week_3;resistance, strike_week, proactive, altogether, mobilize, takeaction, proactively, deedsnotword, yourvotematter, standuptoracism, votethetoriesout, engajamundo;12;exxon, carbon_dioxide, regeneration, citizensassemblie, humansofxr, solar_panel, environmentally, stopadani, ecological_collapse, farming_conference, environmentalism, justtransition, wasteful, ff, teachthefuture, petroleum, reusable, anthropocene, climatecafe, climatecri, extinctionrebel, flightfree, extinctionrebellionlondon, ecolo, ecofriendly, privatization, sixthmassextinction, savecongorainforest, rainy, xrfamilies, herbicide, meteorologist, indigenouspeople, savetheplanet, generational, ourplanet, takeclimateaction, regenerativeresistance, timeforchange, citizenassemblie, exctinctionrebellion, climatechan, decarbonization, sustainablefinance, fracker, makeecocidelaw, biodiversified, humanbuying, firedrillfriday, youthquake, oildrilling, geoengineering, filmstrikeforclimate, precautionaryprinciple, xrbuddhists, sustainablechristma, klimakatastrophe, culturechangenotclimatechange, nuclearban, regenerativeresistence, nonewfossilfuel, livableplanet, wearenaturedefendingitself, citezenassemblie, citizenassenblie, savetalabirafor, ecocideemergency, leedsnorthw, naturalcarbonsolution, klimaproteste, frackfreesurrey, speaktruth, regenativeresistance, conscientiousprotector, oildrille;75;saveyournhs;1;depression, therapy, childcare, diabetic, neurodiversity, neurotypical;6;thisiswhatdemocracylookslike;1;foodbank;1;violence, awful, desperately, evil, injustice, killing, horrendous, thisisanemergency, unprepared, detrimental, irreversibly, catastro;12
week_4;crowdfunde, pleasesupport;2;unsustainable, letterstotheearth, zero_emission, fridaysforfuture_schoolstrike, deep_sea, australiafire, exxonmobil, airquality, redrebel, naturecrisis, savecongoforest, stopbristolairport, extractivism, greenhousegas, consumerist, climateanxiety, culturedeclaresemergency, ourfuturewale, letrussiastrikeforclimate, emiss, ourhouseisonfire, naturalclimatesolution, climatecrisi, decarbonised, nswfire, xrregenerative, saveourchildren, recycledplastic, xrebellionuk, climateac, climatestrikers, onebilliontreesforafrica, climategrief, climatecrise, naturkatastrophe, planetaremergency, meterological, climatecitizensassembly, earthrise, emisson;40;recovery;1;rethinkhs;1;transformative, promising, hopeinthedark;3;housebuilde;1;destructive, suddenly, anxious, necessity, severity, furious, frightening, wasteland, shockingly, alarmingly, thefutureyoufearisalreadyhere;11
week_5;rediscover, riseup, savetheworld, makechange, energised;5;mother_earth, pollinator, australian_bushfire, footprint, australianbushfire, australianfire, permaculture, organic, davidattenborough, microplastic, environman, wildliferebellion, mushroom, hydro, singleuseplastic, fossilfuelfree, congorainforest, bushfires, rainf, climateemergencycamp, earthquake, contamination, zerocarbonwale, entomologist, climateheroe, sustainablefashion, australiaburns, sustainabledevelopment, climateactivism, carbondivestment, climateleader, reforest, bottledwater, orangutans, biologi, letrussiastrike, sustainableinvestmemt, klimaatverwoestende, nodrillhorsehill, climateart, systemchangenotclimatechanbe, savetheturtle, extinctioncrisis;43;non_essential, death_toll, infectious, lifebeforeprofit;4;mentalhealth, antidepressant;2;changeisgonnacome;1;foodsecurity, landlord, wealthinequality;3;unimaginable, apocalyptic, endangered, penultimate;4
week_6;campaigning, rebelforjustice, wearepowerful, reintroduce, mobilization, fighti, makeadifference, revolutionnow, fightforyourlife;9;cycle_lane, rigrebellion, australian_embassy, car_free, pollute_industry, gardening, fossilfree, oil_spill, climateemegency, campaign_rewild, joaquin, agroecology, australiaonfire, australiabushfire, savewhitehawkhill, itstimetolevelup, climateeme, freshwater, massextinction, kangaroo, australianwildfire, veganism, vegetarian, australianbushfires, organism, growing, aboriginal, overpopulation, bushfir, australiaburne, dropbp, rigrebellionii, peoplelikeus, helpless, petro, anthropogenic, greenest, australiaburning, bristolairportexpansion, endplasticpollution, australianbushfiresdisaster, rebels, xruktwitter, environmentaljustice, firestorm, planetbeforeprofit, ecoliteracy, nepocide, ourfuturesgoingupinsmoke, energytransition, agrochemical, ecoagriculture, saynotoglyphosate, buybeefriendly, vegetanuary, aborigine, nanoplastic, greeeeenwash, greeenwash, yourchildrensfuture, biochemistry, australiawildfire, isecocide, carboncarnage, hotnewworld, indonesiaflood, australiaisburning, powertothepeopletv, klimatforskare, frackfreewale, citizensassemby, rehabilitation, carbonbrief, climateergency, extinctionvacation, thunderstorm, australiaf, firecrisis, vicfires;79;transmission, curve, medication;3;0;0;acceptance;1;eviction, national_eviction;2;urgently_need, heartbreaking, disturbing, trauma, vulnerabl, upsetting, devastatingly, capitalismkill;8
week_7;optimise, maximize, publicengagement, boycottsiemens;4;climateassemblyuk, power_station, bike_lane, extinctionunderground, bushfirerebellion, offshore, peoplesassembly, weedkiller, civildisobedience, conservationist, monoculture, rebelsofnewbury, ancientwoodland, sustainably, overheating, australianbushfiredisaster, standupfortree, refurbishnotdemolish, peatfree, circulareconomy, airliner, regenerativeagriculture, environmenta, stopthemoneypipeline, airportexpansion, siemensfuelsfire, savecolnevalley, carbonneutral, extinctionorrebellion, twitternaturecommunity, communityenergy, regenerativefarme, biodi, climateprot, australianbu, rebelagainstyourownextinction, toxicair, kangaroos, extremenonviolence, extremestandingaroundinthecold, extremebannerwaving, horticultural, wildlifewednesday, crimesagainsthumanity, parentsforfutureswlondon, justtransitionalready, fuel_industry, climatejusticeissocialjustice, bushfiresaustralia, jakartafloods, greeninfrastructure, australianopen, reused, australianbushfi, endfossilfinance, farmersforclimateaction, climatemergency, ourislandsourhome, fires, towardstenpercenttreecover, climatemajority, standwithindonesia, criseclimatique, shutdownadani, keepfossilfuelsintheground, glittercardamnesty, wastelessmarket, netzerouk, ecoagreculture, ecoligicalemergency, methanehydrate, trainsnotplane, globalecogenocide, extremesinge, extremecupsoftea, crisiecol, xrart, xrcommunity, writersrebellion, fuellingextinction, ecologicalgrief, ecogenocide, australianbushf, bushfirecrisisaustralia, saveourdownland, demandclimateaction, lakeshorecleanup, notinmytank, nomoreglyphosate, wildfires, rewild_hollingbury, citizensasssembly, investinwind, climatique, climatiques, notextremist, environmentallyfriendly, climateprotest, rogerforclimate, refurbishdon'tdemolish, protecttheocean, savesouthwarktree, dontdemolishrefurbish;103;cummings, endemic;2;0;0;ourpositivefuture, recreation;2;0;0;cruel, heartbreak, emergenc, unfortunate, unconscionable, omnicide, epochal, extermination, ourfuturegoingupinsmoke, failedpeople, devastati, unprecedente, tomorrowscapitalism;13
week_8;fight_prevent, exist_protect, peoplepower, boycottdisneyland, youthsrike;5;sunflow, walking_cycling, ecologically, xreastherts, headingforextinction, powertothepeople, overconsumption, xrfarnham, publictransport, glysophate, climateassembly, extinctionrebell, radioactive, climateactivist, afforestation, airportrebellion, carfreeday, emergencytreeplan, radioactivity, climatetwitter, ecoeconomic, ethnocide, futuresgoingupinsmoke, bioamrywiaeth, fossilfreefuture, climatesolution, ecologicalcri, climaterefugee, pollluter, atmosphe, envrionment, primatologist, regenerat, protectourgreenspace, declareclimateemergency, stopthepigfarm, takeclimateact, savethebees, nativeplant, cephalopod, climatecommunity, stopthemoneypipe, interspecie, xrebellionwa, penguinawarenessday, emperorpenguin, birdwatching, climateparliament, fridaysforfutureke, sustainabletransport, futureforall, saveourplanet, klimastreik, onlywecansaveus, howtosavetheplanet, jointheregeneration, greendrinksleed, recycleable, drinkingwater, savewensumvalley, citizensassembie, xrdrummerswest, nutrientdensity, protectouroceans;64;paramedic, epedemic;2;0;0;inclusivity, realchange;2;0;0;disgraceful, monstrosity, wedonthavetime, incapable, inhumane, devistate, unacountable, collapsology;8
week_9;conservationoptimism, weneedtoactnow, massmobilisation;3;wildflower, paintthestreets, shell_withdraw, borisyourrubbish, savecongofor, foodwaste, carbonemission, peoplenotprofit, wilde, greenhou, climatedenial, landuse, seawater, unleashlocalpotential, wildcardiffhour, lovetheplanet, greenwasher, youthstrikeforclimate, geologic, infestation, climatestriker, xrycanterbury, heathrowairport, animalrebellion, climatebrawl, nocashforcarbon, xrsouthwarkdrummer, ornithologist, actforamazonia, bioma, nobristolairportexpansion, cleanairnow, speciesextinction, citizensassemblyuk, biogeochemical, stopkronospan, flightffree, musicdeclaresemergency, parentsforfutureglobal, refurbishdontdemolish, systemschange, howtosavethepla, lovetheearth, ourhouseisburne, derbyclimatecoalition, derbycitycouncil, climatehealth, blackcarbon, idontwantplastic, lovetheplan, karuraforest, planetrepairs, reparatoryjustice, plasticfootprint, guildfordgoeswild, noexcuseforsingleuse, criticalmassoxford, foodproduction, youarewhatyoueat, waterbelongstothechildren, fossilfuelsubsidies;61;corona, coron, coronarovirus;3;mentalhealthawareness, mentalhealthmatter;2;anotherworldispossible, rainbow, succeed;3;socialinjustice;1;doomsday, uncontrolled, unfathomable, atrocious, doomsdayclock, katastrophalen;6
week_10;sabotage, subsidize, bethechange, empowerment, wecandothis, petitio, crowdfund, actionnow, endracism, endbigotry, endintolerance, endhateincitement;12;enoughisenough, bpmustfall, high_carbon, cyclist_pedestrian, allforclimate, ecopositive, regenerati, sustainabl, ecologica, plasticwaste, disobedience, notoplastic, everyactioncount, ecosystems, bpshutdown, oneyearzeroaction, pollutionwatch, deadcanaries, redrebelbrigade, futurehomesstandard, carboncapture, watershed, decentralisation, communitiesforfuture, globalecovillagenetwork, environmentbill, climateemerg, letpompeybreathe, dehydration, worldwetlandsday, nomorebusinessasusual, xrsutton, noairportexpans, regenerationrising, parentsforfutureuk, locustplague, bpornotbp, lifeonearth, notoairportexpansion, nomoregreenwash, sustainabilityfair, ecostickcampaign, environmentalimpact, fridayfor, ecosytem, lightpollution, citizensofearth, snowrebellion, detoxthealgorithm, takeclimateactionnow, useyourbrainsnomoreplane, naturebasedsolut, futuregeneration, peoplesclimatea, ecoemergency, publicconsultation, reducereuserecycle, microbiome, coalkill, unobtrusive, environmentalrights, likeleaveswefall, stopcarpitalism, stopairportexpansio, getclimatechangedone, climatepolicy, greenhydrogen, acidization, acidi;69;coronavirus, immunity;2;0;0;inevitably, thiscanchange;2;economic_recovery, tradeunion, payday, universalcredit;4;massacre, humiliatingly;2
week_11;powertogether, togetherwemarch, unleashloca, westoppedbristolairportexpansion, takebackcontro;5;tree_protector, enoughisenough_march, fuel_company, clearskie, climateandecologicalcrisis, stormdennis, climateactnow, climateemergencynow, agribusiness, loveyourplanet, joaquinphoenix, climateheartbreak, loveletterstomotherearth, indigenousright, indigenousrights, emergencypanel, sustainablelive, fashionactnow, petrochemical, weareallcrew, rebellio, climatecatastrophe, ozone, stopbristolairportexpansio, xrnewark, organically, guardiansoflife, plasticfreesea, stopbristolairportexpansi, bpmus, climatechaoskill, brushfire, exctinction, contaminated, xrfashionaction, indigenousrigh, indigenousri, joaquinpheonix, tremendously, carbonsink, climatebreakdow, ecoguard, climateandec, monoxide, climatefuckingemergency, stopcityairport, speakupfortheclimate, peoplesclimateassembly, climatereality, climatestripe, climatesafety, clmateemergency, ecolive, ecolife, stopsilvertown, elologicalemergency, notravelonadeadplanet, londoncityairport, indigenousland, xrbalham, healthimplication, indigenousunderattack, localrebellion, bpmustf;64;stay_safe, wellbeingovergdp, superspreader;3;medicinal, cardiovasc;2;clear_sky, magnificent, envisioningtomorrow;3;0;0;despicable, vulnerability, outcry, gigantic, immediatel, thisiszerohour, foodinsec;7
