;agency_words;agency;climate_words;climate;covid_words;covid;health_words;health;possibility_words;possibility;social_words;social;urgency_words;urgency
week_2;disobedience, confront, proud_endorse;3;earth_day, big_oil, environmental_racism, fossil, oil_company, natural_gas, new_deal, air_water, justtransition, exxonmobil, deforestation, warming, bluenewdeal, planetary, grandchild, irreversible, environmentaljustice, atmosphere, grandkid, offshore, chemical, firstenergy, electrify, indigenou, sunrisebgky, greennewdealva, sssunrise, greener, blkbigproblem, hotter, melting, sunrisemvntboston, gretathunberg, environman, climatedenier, carcinogenic, boiseclimatestrike, ecosocialist, whyigotalumpofcoal, climatestr;40;distanc;1;medicare_all, healthy, medicareforall, homelessness, cancer, asthma, medically, vaccinate;8;impactful;1;moratorium, homeless, poverty, houseless, affordablehouse;5;unbelievable, genocide, unprecedented;3
week_3;sign_petition, signtheejbill, reclaimourpower;3;wildlife, dioxide, sunrisefranklin, vegan, billionforclimate, australianfire, bio, greenwash, frack, pgeiskillingus, allwewantforchristmasisagreennewdeal, hgsustrike, savecongorainforest, envirnmental, taxtherichforagreennewdeal, alliwantforchristmasisagreennewdeal, greennewdealforxmas, savethetree, ispeakforthetree, nomoretoxicschool, greennewdealforchristmas, chesapeakeclimate;22;0;0;hospital, medicine;2;0;0;homesguarantee, unionized, unionsforall;3;endanger, apocalypse, importantly, nightmare;4
week_4;0;0;greenwashe, consumption, underwater, hazardous, smarterthanafossilfuel, environmentaljusticebill, nomorefossilfuelmoney, polluting, leakage;9;0;0;0;0;0;0;0;0;violation, fierce, battleground;3
week_5;awaken;1;gas_company, decadeofthegreennewdeal, bushfire, australiafire, sunrisechico, climateart, penguin, iceberg, aluminium, australiaburne, unbreathable, climateemegency, energytwitter, australianfi, australiabushfire;15;0;0;0;0;0;0;0;0;vulnerable, murderous, horrific, massively, extermination;5
week_6;vote_resoundingly, demonstrate, fundraise, africanactivist;4;ecological, pipe, insulin, unsustainable, earthquake, climatecatastrophe, aboriginal, billionforclimateny, australianbushfire, countdowntoshutdown, australi, ecologic, greene, environm, nomorefossilfuels;15;stay_home, immune;2;insurance, health_insurance, healthcare_system, uninsure, universalhealthcare;5;0;0;mortgage, student_loan, housingjustice;3;disgrace, tragedy, violently, atrocity;4
week_7;uprising, energized;2;earthday, climatedebate, renewablenola, liveablefuture, reusable, fundourfuture, weatherize, sustainabil, climatejusticeismigrantjustice, tngreennewdeal, wasteland, sustainabilit, dadsforagreennewdeal, groundwater, cleanenergynow, climatec;16;0;0;uninsured, underinsured;2;thefutureisour, beat_trump;2;bailout, evict, collegeforall;3;awful, explode, unsatisfactory;3
week_8;youthactivism;1;stopthemoneypipeline, keepitintheground, pesticide, transitequityday, contaminate, radioactivity, radioactive, pollination, climateleader, oxygen, wastewater, enviromental, youthlobbyday, stormwater, sunrisemvmtclt, climateac, gndlaunchparty;17;whichsideareyouon;1;public_health;1;0;0;social_security, housingchoice;2;bespoke, incapable, slaughter;3
week_9;fundrais, activitist;2;rebellion, petroleum, conservation, renewables, fundclimatejustice, frontlineyouth, greenne, sunriselaunchparty, overpopulation, anthropogenic, priceoncarbon, sunriseversary, climemechange, humansofclimateaction, greennewdealp, climatetwitter, sunrisemvmtsalinas, climatebrawl, solarfreedom, solarenergy, climatechangeshealth, cliamtejustice, greennewdeallaunch, climatefundingnow, climatepolicy;25;coronavirus, virus, outbreak, corona;4;abortion, cancelstudentdebt;2;changer, facilitation;2;povertydebate, underpriveleged;2;despicable;1
week_10;0;0;wet'suwet'en, stoptmx, greennewd, generationgreennewdeal, environmentalism, climmaattteee, chaaangggeee, waterislife;8;0;0;0;0;0;0;student_debt;1;0;0
week_11;subsidize, unwavering;2;fossilfueldivestmentday, deepwater, voteoutmitch, permafrost, nofossilfuelmoneypledge, generationgnd, fracked, nonbkpipeline, evfreedomact, geothermal, powered, mayoralclimateforum, cleanfutureact, youthforclimate, poisoninthergv, sunrisemvmtdc, climateemergencynow, globaldivestmentday, clearthesmoke, notestonearthday;20;rona;1;medicaid, medicare;2;0;0;0;0;0;0
week_12;0;0;multigenerational, flintwatercrisis, greenpeace, climatesilence, greeen, herbicide, shoreline, theyoungpeoplewillwin, heartbreaking, sunrisespringbreak, greenwasher, contaminat, stopthefracking, savethergvfromlng, defendthesacre, dryland, generationaltraitor, climatecollapse, vegetarian, greenbond, climatech;21;0;0;reproductive, pharmaceutical;2;uncompromising;1;childcare, cancelstudentdeb;2;destructive, horribl;2
week_13;youthmovement, combatir;2;earthweeknyc, fossilfuel, pvd, recycling, planting, climatehoax, earthdaystrike, sunrisepaloalto, chlorpyrifos, ecologicalemergency, envirojusticenow, internationalpolarbearday, trilliontreesact, trillionstumpsact, keepitintheforest, keepitinthefor, netzeroisnotenough, landprotector, waterprotector, pipelineprotestor, texasforthegreennewdeal, voteenvironment, environmentalvoter, sunriseartbuild, pdxcleanenergy, combustible;26;pandemic, inflammatory;2;0;0;0;0;welfare;1;emerge, mortality;2
